date,number,name
8/16/2018 11:00,201,Webster Hall
8/16/2018 12:00,263,Webster Hall
8/16/2018 13:00,218,Webster Hall
8/16/2018 14:00,228,Webster Hall
8/16/2018 15:00,201,Webster Hall
8/16/2018 16:00,168,Webster Hall
8/16/2018 17:00,106,Webster Hall
8/16/2018 18:00,67,Webster Hall
8/16/2018 19:00,48,Webster Hall
8/16/2018 20:00,27,Webster Hall
8/16/2018 21:00,27,Webster Hall
8/16/2018 22:00,29,Webster Hall
8/16/2018 23:00,28,Webster Hall
8/17/2018 0:00,25,Webster Hall
8/17/2018 1:00,23,Webster Hall
8/17/2018 2:00,23,Webster Hall
8/17/2018 3:00,22,Webster Hall
8/17/2018 4:00,22,Webster Hall
8/17/2018 5:00,25,Webster Hall
8/17/2018 6:00,34,Webster Hall
8/17/2018 7:00,51,Webster Hall
8/17/2018 8:00,56,Webster Hall
8/17/2018 9:00,80,Webster Hall
8/17/2018 10:00,95,Webster Hall
8/17/2018 11:00,89,Webster Hall
8/17/2018 12:00,84,Webster Hall
8/17/2018 13:00,88,Webster Hall
8/17/2018 14:00,70,Webster Hall
8/17/2018 15:00,50,Webster Hall
8/17/2018 16:00,60,Webster Hall
8/17/2018 17:00,58,Webster Hall
8/17/2018 18:00,32,Webster Hall
8/17/2018 19:00,39,Webster Hall
8/17/2018 20:00,28,Webster Hall
8/17/2018 21:00,28,Webster Hall
8/17/2018 22:00,35,Webster Hall
8/17/2018 23:00,27,Webster Hall
8/18/2018 0:00,22,Webster Hall
8/18/2018 1:00,23,Webster Hall
8/18/2018 2:00,22,Webster Hall
8/18/2018 3:00,24,Webster Hall
8/18/2018 4:00,22,Webster Hall
8/18/2018 5:00,24,Webster Hall
8/18/2018 6:00,22,Webster Hall
8/18/2018 7:00,33,Webster Hall
8/18/2018 8:00,111,Webster Hall
8/18/2018 9:00,103,Webster Hall
8/18/2018 10:00,126,Webster Hall
8/18/2018 11:00,153,Webster Hall
8/18/2018 12:00,137,Webster Hall
8/18/2018 13:00,143,Webster Hall
8/18/2018 14:00,121,Webster Hall
8/18/2018 15:00,115,Webster Hall
8/18/2018 16:00,75,Webster Hall
8/18/2018 17:00,47,Webster Hall
8/18/2018 18:00,27,Webster Hall
8/18/2018 19:00,23,Webster Hall
8/18/2018 20:00,23,Webster Hall
8/18/2018 21:00,22,Webster Hall
8/18/2018 22:00,23,Webster Hall
8/18/2018 23:00,21,Webster Hall
8/19/2018 0:00,22,Webster Hall
8/19/2018 1:00,22,Webster Hall
8/19/2018 2:00,21,Webster Hall
8/19/2018 3:00,24,Webster Hall
