name,date,total
Kuykendall Hall,8/20/2018 20:00,84
Kuykendall Hall,8/20/2018 21:00,51
Kuykendall Hall,8/20/2018 22:00,60
Kuykendall Hall,8/20/2018 23:00,14
Kuykendall Hall,8/21/2018 0:00,15
Kuykendall Hall,8/21/2018 1:00,11
Kuykendall Hall,8/21/2018 2:00,12
Kuykendall Hall,8/21/2018 3:00,12
Kuykendall Hall,8/21/2018 4:00,13
Kuykendall Hall,8/21/2018 5:00,32
Kuykendall Hall,8/21/2018 6:00,88
Kuykendall Hall,8/21/2018 7:00,230
Kuykendall Hall,8/21/2018 8:00,803
Kuykendall Hall,8/21/2018 9:00,751
Kuykendall Hall,8/21/2018 10:00,1080
Kuykendall Hall,8/21/2018 11:00,1209
Kuykendall Hall,8/21/2018 12:00,660
Kuykendall Hall,8/21/2018 13:00,1034
Kuykendall Hall,8/21/2018 14:00,899
Kuykendall Hall,8/21/2018 15:00,482
Kuykendall Hall,8/21/2018 16:00,413
Kuykendall Hall,8/21/2018 17:00,234
Kuykendall Hall,8/21/2018 18:00,156
Kuykendall Hall,8/21/2018 19:00,93
Kuykendall Hall,8/21/2018 20:00,63
Kuykendall Hall,8/21/2018 21:00,62
Kuykendall Hall,8/21/2018 22:00,51
Kuykendall Hall,8/21/2018 23:00,18
Kuykendall Hall,8/22/2018 0:00,14
Kuykendall Hall,8/22/2018 1:00,12
Kuykendall Hall,8/22/2018 2:00,10
Kuykendall Hall,8/22/2018 3:00,11
Kuykendall Hall,8/22/2018 4:00,12
Kuykendall Hall,8/22/2018 5:00,38
Kuykendall Hall,8/22/2018 6:00,56
Kuykendall Hall,8/22/2018 7:00,199
Kuykendall Hall,8/22/2018 8:00,664
Kuykendall Hall,8/22/2018 9:00,764
Kuykendall Hall,8/22/2018 10:00,877
Kuykendall Hall,8/22/2018 11:00,946
Kuykendall Hall,8/22/2018 12:00,1077
Kuykendall Hall,8/22/2018 13:00,1137
Watanabe Hall,8/16/2018 11:00,179
Watanabe Hall,8/16/2018 12:00,311
Watanabe Hall,8/16/2018 13:00,284
Watanabe Hall,8/16/2018 14:00,227
Watanabe Hall,8/16/2018 15:00,233
Watanabe Hall,8/16/2018 16:00,192
Watanabe Hall,8/16/2018 17:00,136
Watanabe Hall,8/16/2018 18:00,126
Watanabe Hall,8/16/2018 19:00,59
Watanabe Hall,8/16/2018 20:00,28
Watanabe Hall,8/16/2018 21:00,25
Watanabe Hall,8/16/2018 22:00,28
Watanabe Hall,8/16/2018 23:00,19
Watanabe Hall,8/17/2018 0:00,10
Watanabe Hall,8/17/2018 1:00,14
Watanabe Hall,8/17/2018 2:00,8
Watanabe Hall,8/17/2018 3:00,8
Watanabe Hall,8/17/2018 4:00,11
Watanabe Hall,8/17/2018 5:00,11
Watanabe Hall,8/17/2018 6:00,31
Watanabe Hall,8/17/2018 7:00,59
Watanabe Hall,8/17/2018 8:00,70
Watanabe Hall,8/17/2018 9:00,85
Watanabe Hall,8/17/2018 10:00,99
Watanabe Hall,8/17/2018 11:00,141
Watanabe Hall,8/17/2018 12:00,103
Watanabe Hall,8/17/2018 13:00,104
Watanabe Hall,8/17/2018 14:00,83
Watanabe Hall,8/17/2018 15:00,53
Watanabe Hall,8/17/2018 16:00,58
Watanabe Hall,8/17/2018 17:00,73
